[1 ]  #SUP: 0.1218460117374887
[1 5 10 12 15 18 ]  #SUP: 0.007384167600344017
[1 5 10 12 16 ]  #SUP: 0.027492038673245033
[1 5 10 12 16 17 ]  #SUP: 0.017476755250613235
[1 5 10 12 16 17 18 ]  #SUP: 0.007384167600344017
[1 5 10 12 16 18 ]  #SUP: 0.007384167600344017
[1 5 10 12 17 ]  #SUP: 0.017476755250613235
[1 5 10 12 17 18 ]  #SUP: 0.007384167600344017
[1 5 10 12 18 ]  #SUP: 0.007384167600344017
[1 5 10 14 ]  #SUP: 0.027492038673245033
[1 5 10 14 15 ]  #SUP: 0.027492038673245033
[1 5 10 14 15 16 ]  #SUP: 0.027492038673245033
[1 5 10 14 15 16 17 ]  #SUP: 0.017476755250613235
[1 5 10 14 15 16 17 18 ]  #SUP: 0.00654856938816663
[1 5 10 14 15 16 18 ]  #SUP: 0.00654856938816663
[1 5 10 14 15 17 ]  #SUP: 0.017476755250613235
[1 5 10 14 15 17 18 ]  #SUP: 0.00654856938816663
[1 5 10 14 15 18 ]  #SUP: 0.00654856938816663
[1 5 10 14 16 ]  #SUP: 0.027492038673245033
[1 5 10 14 16 17 ]  #SUP: 0.017476755250613235
[1 5 10 14 16 17 18 ]  #SUP: 0.00654856938816663
[1 5 10 14 16 18 ]  #SUP: 0.00654856938816663
[1 5 10 14 17 ]  #SUP: 0.017476755250613235
[1 5 10 14 17 18 ]  #SUP: 0.00654856938816663
[1 5 10 14 18 ]  #SUP: 0.00654856938816663
[1 5 10 15 ]  #SUP: 0.027492038673245033
[1 5 10 15 16 ]  #SUP: 0.027492038673245033
[1 5 10 15 16 17 ]  #SUP: 0.017476755250613235
[1 5 10 15 16 17 18 ]  #SUP: 0.007384167600344017
[1 5 10 15 16 18 ]  #SUP: 0.007384167600344017
[1 5 10 15 17 ]  #SUP: 0.017476755250613235
[1 5 10 15 17 18 ]  #SUP: 0.007384167600344017
[1 5 10 15 18 ]  #SUP: 0.007384167600344017
[1 5 10 16 ]  #SUP: 0.027492038673245033
[1 5 10 16 17 ]  #SUP: 0.017476755250613235
[1 5 10 16 17 18 ]  #SUP: 0.007384167600344017
[1 5 10 16 18 ]  #SUP: 0.007384167600344017
[1 5 10 17 ]  #SUP: 0.017476755250613235
[1 5 10 17 18 ]  #SUP: 0.007384167600344017
[1 5 10 18 ]  #SUP: 0.007384167600344017
[1 5 10 11 ]  #SUP: 0.004507083287138298
[1 5 10 11 12 ]  #SUP: 0.004507083287138298
[1 5 9 ]  #SUP: 0.016458690404854107
[1 5 9 10 ]  #SUP: 0.016458690404854107
[1 5 9 10 12 ]  #SUP: 0.016458690404854107
[1 5 9 10 12 14 ]  #SUP: 0.01205552352522808
[1 5 9 10 12 14 15 ]  #SUP: 0.01205552352522808
[1 5 9 10 12 14 15 16 ]  #SUP: 0.01205552352522808
[1 5 9 10 12 14 15 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 12 14 16 ]  #SUP: 0.01205552352522808
[1 5 9 10 12 14 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 12 14 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 12 15 ]  #SUP: 0.012074233410769138
[1 5 9 10 12 15 16 ]  #SUP: 0.012074233410769138
[1 5 9 10 12 15 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 12 15 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 12 16 ]  #SUP: 0.012074233410769138
[1 5 9 10 12 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 12 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 14 ]  #SUP: 0.01205552352522808
[1 5 9 10 14 15 ]  #SUP: 0.01205552352522808
[1 5 9 10 14 15 16 ]  #SUP: 0.01205552352522808
[1 5 9 10 14 15 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 14 15 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 14 16 ]  #SUP: 0.01205552352522808
[1 5 9 10 14 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 14 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 15 ]  #SUP: 0.012074233410769138
[1 5 9 10 15 16 ]  #SUP: 0.012074233410769138
[1 5 9 10 15 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 15 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 16 ]  #SUP: 0.012074233410769138
[1 5 9 10 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 10 11 ]  #SUP: 0.004507083287138298
[1 5 9 10 11 12 ]  #SUP: 0.004507083287138298
[1 5 9 10 17 ]  #SUP: 0.006651072372177192
[1 5 9 12 ]  #SUP: 0.016458690404854107
[1 5 9 12 14 ]  #SUP: 0.01205552352522808
[1 5 9 12 14 15 ]  #SUP: 0.01205552352522808
[1 5 9 12 14 15 16 ]  #SUP: 0.01205552352522808
[1 5 9 12 14 15 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 12 14 15 17 ]  #SUP: 0.006651072372177192
[1 5 9 12 14 16 ]  #SUP: 0.01205552352522808
[1 5 9 12 14 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 12 14 17 ]  #SUP: 0.006651072372177192
[1 5 9 12 15 ]  #SUP: 0.012074233410769138
[1 5 9 12 15 16 ]  #SUP: 0.012074233410769138
[1 5 9 12 15 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 12 15 17 ]  #SUP: 0.006651072372177192
[1 5 9 12 16 ]  #SUP: 0.012074233410769138
[1 5 9 12 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 12 17 ]  #SUP: 0.006651072372177192
[1 5 9 14 ]  #SUP: 0.01205552352522808
[1 5 9 14 15 ]  #SUP: 0.01205552352522808
[1 5 9 14 15 16 ]  #SUP: 0.01205552352522808
[1 5 9 14 15 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 14 15 17 ]  #SUP: 0.006651072372177192
[1 5 9 14 16 ]  #SUP: 0.01205552352522808
[1 5 9 14 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 14 17 ]  #SUP: 0.006651072372177192
[1 5 9 15 ]  #SUP: 0.012074233410769138
[1 5 9 15 16 ]  #SUP: 0.012074233410769138
[1 5 9 15 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 15 17 ]  #SUP: 0.006651072372177192
[1 5 9 16 ]  #SUP: 0.012074233410769138
[1 5 9 16 17 ]  #SUP: 0.006651072372177192
[1 5 9 11 ]  #SUP: 0.004507083287138298
[1 5 9 11 12 ]  #SUP: 0.004507083287138298
[1 5 9 17 ]  #SUP: 0.006651072372177192
[1 5 18 ]  #SUP: 0.011020721096187621
[1 5 18 21 ]  #SUP: 0.005418473678619827
[1 5 21 ]  #SUP: 0.005418473678619827
[1 5 6 ]  #SUP: 0.004507083287138298
[1 5 6 7 ]  #SUP: 0.004507083287138298
[1 5 6 7 8 ]  #SUP: 0.004507083287138298
[1 5 6 7 8 9 ]  #SUP: 0.004507083287138298
[1 5 6 7 8 10 ]  #SUP: 0.004507083287138298
[1 5 6 7 8 11 ]  #SUP: 0.004507083287138298
[1 5 6 7 8 12 ]  #SUP: 0.004507083287138298
[1 5 6 7 9 ]  #SUP: 0.004507083287138298
[1 5 6 7 9 10 ]  #SUP: 0.004507083287138298
[1 5 6 7 9 11 ]  #SUP: 0.004507083287138298
[1 5 6 7 9 12 ]  #SUP: 0.004507083287138298
[1 5 6 7 10 ]  #SUP: 0.004507083287138298
[1 5 6 7 10 11 ]  #SUP: 0.004507083287138298
[1 5 6 7 10 12 ]  #SUP: 0.004507083287138298
[1 5 6 7 11 ]  #SUP: 0.004507083287138298
[1 5 6 7 11 12 ]  #SUP: 0.004507083287138298
[1 5 6 7 12 ]  #SUP: 0.004507083287138298
[1 5 6 8 ]  #SUP: 0.004507083287138298
[1 5 6 8 9 ]  #SUP: 0.004507083287138298
[1 5 6 8 9 10 ]  #SUP: 0.004507083287138298
[1 5 6 8 9 11 ]  #SUP: 0.004507083287138298
[1 5 6 8 9 12 ]  #SUP: 0.004507083287138298
[1 5 6 8 10 ]  #SUP: 0.004507083287138298
[1 5 6 8 10 11 ]  #SUP: 0.004507083287138298
[1 5 6 8 10 12 ]  #SUP: 0.004507083287138298
[1 5 6 8 11 ]  #SUP: 0.004507083287138298
[1 5 6 8 11 12 ]  #SUP: 0.004507083287138298
[1 5 6 8 12 ]  #SUP: 0.004507083287138298
[1 5 6 9 ]  #SUP: 0.004507083287138298
[1 5 6 9 10 ]  #SUP: 0.004507083287138298
[1 5 6 9 10 11 ]  #SUP: 0.004507083287138298
[1 5 6 9 10 12 ]  #SUP: 0.004507083287138298
[1 5 6 9 11 ]  #SUP: 0.004507083287138298
[1 5 6 9 11 12 ]  #SUP: 0.004507083287138298
[1 5 6 9 12 ]  #SUP: 0.004507083287138298
[1 5 6 10 ]  #SUP: 0.004507083287138298
[1 5 6 10 11 ]  #SUP: 0.004507083287138298
[1 5 6 10 11 12 ]  #SUP: 0.004507083287138298
[1 5 6 10 12 ]  #SUP: 0.004507083287138298
[1 5 6 11 ]  #SUP: 0.004507083287138298
[1 5 6 11 12 ]  #SUP: 0.004507083287138298
[1 5 6 12 ]  #SUP: 0.004507083287138298
[1 5 7 ]  #SUP: 0.004554856352289411
[1 5 7 8 ]  #SUP: 0.004554856352289411
[1 5 7 8 9 ]  #SUP: 0.004554856352289411
[1 5 7 8 9 10 ]  #SUP: 0.004554856352289411
[1 5 7 8 9 11 ]  #SUP: 0.004507083287138298
[1 5 7 8 9 12 ]  #SUP: 0.004554856352289411
[1 5 7 8 10 ]  #SUP: 0.004554856352289411
[1 5 7 8 10 11 ]  #SUP: 0.004507083287138298
[1 5 7 8 10 12 ]  #SUP: 0.004554856352289411
[1 5 7 8 11 ]  #SUP: 0.004507083287138298
[1 5 7 8 11 12 ]  #SUP: 0.004507083287138298
[1 5 7 8 12 ]  #SUP: 0.004554856352289411
[1 5 7 9 ]  #SUP: 0.004554856352289411
[1 5 7 9 10 ]  #SUP: 0.004554856352289411
[1 5 7 9 10 11 ]  #SUP: 0.004507083287138298
[1 5 7 9 10 12 ]  #SUP: 0.004554856352289411
[1 5 7 9 11 ]  #SUP: 0.004507083287138298
[1 5 7 9 11 12 ]  #SUP: 0.004507083287138298
[1 5 7 9 12 ]  #SUP: 0.004554856352289411
[1 5 7 10 ]  #SUP: 0.004554856352289411
[1 5 7 10 11 ]  #SUP: 0.004507083287138298
[1 5 7 10 11 12 ]  #SUP: 0.004507083287138298
[1 5 7 10 12 ]  #SUP: 0.004554856352289411
[1 5 7 11 ]  #SUP: 0.004507083287138298
[1 5 7 11 12 ]  #SUP: 0.004507083287138298
[1 5 7 12 ]  #SUP: 0.004554856352289411
[1 5 11 ]  #SUP: 0.004507083287138298
[1 5 11 12 ]  #SUP: 0.004507083287138298
[1 8 ]  #SUP: 0.09443349272642212
[1 8 10 ]  #SUP: 0.031800926708875125
[1 8 10 12 ]  #SUP: 0.031800926708875125
[1 8 10 12 14 ]  #SUP: 0.021746045056780534
[1 8 10 12 14 15 ]  #SUP: 0.021746045056780534
[1 8 10 12 14 15 16 ]  #SUP: 0.021746045056780534
[1 8 10 12 14 15 16 17 ]  #SUP: 0.006492846125716028
[1 8 10 12 14 15 17 ]  #SUP: 0.006492846125716028
[1 8 10 12 14 16 ]  #SUP: 0.021746045056780534
[1 8 10 12 14 16 17 ]  #SUP: 0.006492846125716028
[1 8 10 12 14 17 ]  #SUP: 0.006492846125716028
[1 8 10 12 15 ]  #SUP: 0.02729384342173684
[1 8 10 12 15 16 ]  #SUP: 0.02729384342173684
[1 8 10 12 15 16 17 ]  #SUP: 0.011943927996128768
[1 8 10 12 15 16 17 18 ]  #SUP: 0.0073913092122507365
[1 8 10 12 15 16 18 ]  #SUP: 0.0073913092122507365
[1 8 10 12 15 16 19 ]  #SUP: 0.005652711532650403
[1 8 10 12 15 17 ]  #SUP: 0.011943927996128768
[1 8 10 12 15 17 18 ]  #SUP: 0.0073913092122507365
[1 8 10 12 15 17 19 ]  #SUP: 0.005652711532650403
[1 8 10 12 15 18 ]  #SUP: 0.0073913092122507365
[1 8 10 12 15 18 19 ]  #SUP: 0.005652711532650403
[1 8 10 12 15 19 ]  #SUP: 0.005652711532650403
[1 8 10 12 16 ]  #SUP: 0.02729384342173684
[1 8 10 12 16 17 ]  #SUP: 0.011943927996128768
[1 8 10 12 16 17 18 ]  #SUP: 0.0073913092122507365
[1 8 10 12 16 17 19 ]  #SUP: 0.005652711532650403
[1 8 10 12 16 18 ]  #SUP: 0.0073913092122507365
[1 8 10 12 16 18 19 ]  #SUP: 0.005652711532650403
[1 8 10 12 16 19 ]  #SUP: 0.005652711532650403
[1 8 10 12 17 ]  #SUP: 0.011943927996128768
[1 8 10 12 17 18 ]  #SUP: 0.0073913092122507365
[1 8 10 12 17 18 19 ]  #SUP: 0.005652711532650403
[1 8 10 12 17 19 ]  #SUP: 0.005652711532650403
[1 8 10 12 18 ]  #SUP: 0.0073913092122507365
[1 8 10 12 18 19 ]  #SUP: 0.005652711532650403
[1 8 10 12 19 ]  #SUP: 0.005652711532650403
[1 8 10 14 ]  #SUP: 0.021746045056780534
[1 8 10 14 15 ]  #SUP: 0.021746045056780534
[1 8 10 14 15 16 ]  #SUP: 0.021746045056780534
[1 8 10 14 15 16 17 ]  #SUP: 0.006492846125716028
[1 8 10 14 15 17 ]  #SUP: 0.006492846125716028
[1 8 10 14 16 ]  #SUP: 0.021746045056780534
[1 8 10 14 16 17 ]  #SUP: 0.006492846125716028
[1 8 10 14 17 ]  #SUP: 0.006492846125716028
[1 8 10 15 ]  #SUP: 0.02729384342173684
[1 8 10 15 16 ]  #SUP: 0.02729384342173684
[1 8 10 15 16 17 ]  #SUP: 0.011943927996128768
[1 8 10 15 16 17 18 ]  #SUP: 0.0073913092122507365
[1 8 10 15 16 17 19 ]  #SUP: 0.005652711532650403
[1 8 10 15 16 18 ]  #SUP: 0.0073913092122507365
[1 8 10 15 16 18 19 ]  #SUP: 0.005652711532650403
